id,title,answer
930,LinkedHashSet iteration not in ascending order?,['java.util.Arrays.sort']
931,Can a Java server accept both SSL and plaintext connections on one port?,"['javax.net.ssl.SSLSocket.setUseClientMode', 'javax.net.ssl.SSLSocketFactory.createSocket']"
932,"Use Hashtable, Vector or HashMap or ArrayList in Java",['java.util.Collections.synchronizedList']
933,Use of java.math.MathContext,"['java.math.BigDecimal.setScale', 'java.math.BigDecimal.round']"
934,"What would cause a NullPointerException when running a JAR from the command line, but not from an IDE?",['java.lang.ClassLoader.getResourceAsStream']
935,How can I change the date format in Java?,['java.time.LocalDate.parse']
936,The method write(int) in the type BufferedWriter is not applicable for the arguments (Long),['java.lang.String.valueOf']
937,How to invoke Nashorns `ScriptFunction` callback from Java?,['nashorn.jdk.nashorn.api.scripting.JSObject.call']
938,Make an Object[] from a ResultSet (for a JOptionPane dialog),['javax.swing.JOptionPane.showInputDialog']
939,Instantiating a generic class in Java,['java.lang.Class.forName']
940,Java GUI - storing input/calculations into txt tile,"['java.lang.String.valueOf', 'java.io.Writer.append']"
941,File reader not reading correct values,['java.io.BufferedReader.read']
942,Java ID3 calculating entropy,['java.lang.Math.log']
943,JUnit4 test causes java.text.ParseException: Unparseable date,"['java.text.SimpleDateFormat.rfc', 'java.text.SimpleDateFormat.iso']"
944,Convert a Queue to List,['java.util.ArrayList.ArrayList']
945,URL to load resources from the classpath in Java,"['java.net.URL.URL', 'java.lang.Thread.currentThread', 'java.net.URI.create', 'java.net.URL.setURLStreamHandlerFactory']"
946,how to change the value of a dynamic arrays in java during runtime?,['java.util.Arrays.copyOf']
947,Optimal way of creating a fixed size thread pool in Java using the Executors service,['java.util.concurrent.Executors.newFixedThreadPool']
948,When should a class be Comparable and/or Comparator?,['java.util.Collections.sort']
949,Create a map from a list of maps,"['java.util.stream.Collectors.toList', 'java.util.stream.Collectors.groupingBy']"
950,How to fix this java.io.FileNotFoundException?,['java.lang.Class.getResourceAsStream']
951,Does Java have a function that lexicographically orders lists (not their elements)?,['java.util.Collections.sort']
952,Why is my android application skipping frames when Thread.sleep is called?,['java.lang.Thread.sleep']
953,Sort an ArrayList based on Integer,['java.util.Collections.sort']
954,Placing null at the end of the List,['java.util.Collections.sort']
955,Does ArrayList.clear() method frees memory?,['java.util.ArrayList.trimToSize']
956,Android Format calendar to output time,['java.util.Calendar.get']
957,getting environment variable's value in java?,"['java.lang.System.getenv', 'java.lang.System.getProperty']"
958,"Why does split(""."") fail? java",['java.lang.String.split']
959,Is it possible to get the full http request inside the handler method of HttpServer.createContext?,['java.net.URI.getQuery']
960,Java - Get array of name of day for current week,"['java.time.LocalDate.now', 'java.time.DayOfWeek.getDisplayName']"
961,String Array for Java,"['java.util.Arrays.toString', 'java.util.stream.Stream.of', 'java.lang.String.split']"
962,How to use formatted strings together with placeholders in Android?,['java.lang.String.format']
963,How do you determine if an insert or update was successful using Java and MySQL?,"['java.sql.PreparedStatement.executeUpdate', 'java.sql.PreparedStatement.addBatch', 'java.sql.Statement.executeBatch']"
964,How do I declare Java enums in Frege native declarations?,['java.lang.Class.getName']
965,How ensure if java program uses UTF-8 encoding,['java.lang.System.getProperty']
966,Assigning file filled with number values to a 2D array of JLabels,['java.lang.String.valueOf']
967,What is the security risk of object reflection?,['java.lang.reflect.AccessibleObject.setAccessible']
968,java: Close connection after all threads have terminated,"['java.lang.Runtime.addShutdownHook', 'java.lang.Thread.join']"
969,Is it possible to create a java.lang.Process instance for a process I did not start?,"['java.lang.ProcessBuilder.start', 'java.lang.Runtime.exec']"
970,Java RMI: how to make client stub method called on server print message on client screen?,['java.rmi.registry.Registry.lookup']
971,Java Convert integer to hex integer,['java.lang.Integer.toHexString']
972,What is parametric polymorphism in Java (with example)?,['java.util.Collections.sort']
973,Checking an int within range,['java.lang.Math.abs']
974,Scanning letters and floats using the java scanner,['java.lang.Float.parseFloat']
975,Is there a way to restrict CPU usage to a percentage during runtime for JVM or Dalvik?,['java.lang.Thread.sleep']
976,"Java - map.get don't work, but element is in map?",['java.util.Map.get']
977,Java Trident Library and Thread.sleep(),['java.lang.Thread.sleep']
978,Faster way to split a string in java then add to an ArrayList,['java.util.regex.Pattern.split']
979,How to delete Java Loggers,['java.lang.System.gc']
980,Can I use the classpath to override a file in a jar that is being run?,['java.lang.ClassLoader.getResource']
981,Java fileinputstream using with url,['java.net.URL.openStream']
982,split java dashed string,['java.lang.String.split']
983,Type casting a Number to double,['java.lang.Number.doubleValue']
984,parallel processing with infinite stream in Java,"['java.util.stream.Stream.iterate', 'java.util.stream.Stream.distinct']"
985,Java8 stream reducing list of objects with fluent API,['java.util.stream.Stream.reduce']
986,Why do we not get the ordered sequence in HashSet,['java.util.Set.iterator']
987,I am getting NullPointerException inside Consumer,['java.util.concurrent.PriorityBlockingQueue.poll']
988,Error when try to parse String to Double,"['java.lang.Double.parseDouble', 'java.lang.String.split']"
989,get static initialization block to run in a java without loading the class,['java.lang.Class.forName']
990,How do I wait for Threads to complete execution in Java?,"['java.lang.Thread.join', 'java.util.concurrent.Future.get']"
991,Is it safe to use Vector in java?,['java.util.Collections.synchronizedList']
992,Java- How to initialize rows dynamically on JTable?,['javax.swing.JTable.setValueAt']
993,How to sort an ArrayList in Java,['java.util.Collections.sort']
994,referencing configuration.properties outside of the .war,"['java.lang.System.getenv', 'java.lang.System.getProperty']"
995,how to order Arrays value as circular format in java?,['java.util.Collections.rotate']
996,Why does this file not get deleted?,"['java.nio.file.Files.delete', 'java.io.File.createTempFile', 'java.io.File.delete']"
997,Java Swing redraw delay,['java.lang.Thread.sleep']
998,How to detect if a number is greater than Long.MAX value,['java.math.BigInteger.longValueExact']
999,"In Java, how to pass the objects back to Main thread from worker threads?",['java.util.concurrent.ExecutorService.invokeAll']
